EID	Course_ID	Course_Name	Course_Hours	Course_Date	Last_Name	First_Name	Sex
4979	200	Is 5G a myth? (And Other Questions You May Hear)	1.0		Núñez	Carla	F
4979	600	Emotional Intelligence for Managers	1.0	2013-04-14	Núñez	Carla	F
4979	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2021-03-26	Núñez	Carla	F
4979	400	Smart Phones and Dumb People: Know Your Audience	3.0	2017-04-06	Núñez	Carla	F
4979	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Núñez	Carla	F
4979	300	How to Sell Phone Warranties	3.0	2016-06-26	Núñez	Carla	F
4979	300	How to Sell Phone Warranties	3.0	2021-04-26	Núñez	Carla	F
4979	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2016-08-07	Núñez	Carla	F
5117	300	How to Sell Phone Warranties	3.0	2015-06-02	Reyes	Jude	M
5117	700	Emotional Intelligence for Employees	3.0	2010-05-22	Reyes	Jude	M
5473	300	How to Sell Phone Warranties		2020-10-04	Wilson	Latoya	F
5473	500	What Does this Button Do?	4.0	2012-05-03	Wilson	Latoya	F
5473	700	Emotional Intelligence for Employees	3.0	2019-04-25	Wilson	Latoya	F
5473	500	What Does this Button Do?	4.0	2012-09-27	Wilson	Latoya	F
5473	500	What Does this Button Do?	4.0	2022-02-01	Wilson	Latoya	F
5473	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2012-08-26	Wilson	Latoya	F
5473	500	What Does this Button Do?	4.0	2013-10-11	Wilson	Latoya	F
5473	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2021-07-16	Wilson	Latoya	F
5473	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2010-02-01	Wilson	Latoya	F
5763	700	Emotional Intelligence for Employees	3.0		Torres	Eddie	M
5763	300	How to Sell Phone Warranties	3.0	2014-02-14	Torres	Eddie	M
5763	500	What Does this Button Do?	4.0	2017-06-13	Torres	Eddie	M
5763	600	Emotional Intelligence for Managers	1.0	2015-12-15	Torres	Eddie	M
5763	700	Emotional Intelligence for Employees	3.0	2019-02-07	Torres	Eddie	M
5763	700	Emotional Intelligence for Employees	3.0	2010-09-01	Torres	Eddie	M
5763	300	How to Sell Phone Warranties	3.0	2012-03-07	Torres	Eddie	M
5763	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2019-11-06	Torres	Eddie	M
5763	700	Emotional Intelligence for Employees	3.0	2011-09-06	Torres	Eddie	M
5862	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2021-11-18	Cooper	Roberta	F
5862	700	Emotional Intelligence for Employees	3.0	2022-04-23	Cooper	Roberta	F
5862	700	Emotional Intelligence for Employees	3.0	2020-02-06	Cooper	Roberta	F
5862	600	Emotional Intelligence for Managers	1.0	2017-01-09	Cooper	Roberta	F
5862	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2014-02-19	Cooper	Roberta	F
5862	200	Is 5G a myth? (And Other Questions You May Hear)		2011-02-06	Cooper	Roberta	F
5862	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Cooper	Roberta	F
6325	300	How to Sell Phone Warranties	3.0	2011-06-10	Peterson	Jonah	M
6325	500	What Does this Button Do?	4.0	2011-05-07	Peterson	Jonah	M
6325	700	Emotional Intelligence for Employees	3.0	2017-04-20	Peterson	Jonah	M
6325	600	Emotional Intelligence for Managers	1.0	2011-12-17	Peterson	Jonah	M
6325	300	How to Sell Phone Warranties	3.0	2015-03-12	Peterson	Jonah	M
7178	300	How to Sell Phone Warranties	3.0	2017-05-07	Stewart	Michele	F
7178	300	How to Sell Phone Warranties	3.0	2019-04-12	Stewart	Michele	F
7178	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2020-04-14	Stewart	Michele	F
7717	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2022-09-19	Salinas	Jose	M
7717	200	Is 5G a myth? (And Other Questions You May Hear)	1.0		Salinas	Jose	M
7717	400	Smart Phones and Dumb People: Know Your Audience	3.0		Salinas	Jose	M
7717	500	What Does this Button Do?	4.0	2012-09-10	Salinas	Jose	M
7717	400	Smart Phones and Dumb People: Know Your Audience	3.0	2020-08-20	Salinas	Jose	M
7717	700	Emotional Intelligence for Employees	3.0	2018-07-05	Salinas	Jose	M
7717	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2012-12-10	Salinas	Jose	M
7717	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-01-04	Salinas	Jose	M
7717	700	Emotional Intelligence for Employees	3.0	2011-10-25	Salinas	Jose	M
7717	300	How to Sell Phone Warranties	3.0	2022-01-06	Salinas	Jose	M
7763	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2020-04-05	López	Tami	F
7763	700	Emotional Intelligence for Employees	3.0	2014-07-31	López	Tami	F
7763	300	How to Sell Phone Warranties	3.0	2011-02-06	López	Tami	F
7763	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-08-04	López	Tami	F
8017	700	Emotional Intelligence for Employees	3.0	2015-09-08	Estrada	Gina	F
8559	500	What Does this Button Do?	4.0		Ávila	Jesus	M
8559	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-04-15	Ávila	Jesus	M
9001	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2016-09-19	Jackson	Kristin	F
9001	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2013-03-04	Jackson	Kristin	F
9001	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-07-16	Jackson	Kristin	F
9001	300	How to Sell Phone Warranties		2016-09-26	Jackson	Kristin	F
9001	600	Emotional Intelligence for Managers	1.0	2022-12-14	Jackson	Kristin	F
9001	700	Emotional Intelligence for Employees	3.0	2018-12-02	Jackson	Kristin	F
9001	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2014-05-19	Jackson	Kristin	F
9001	500	What Does this Button Do?	4.0		Jackson	Kristin	F
9001	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2019-02-19	Jackson	Kristin	F
9001	700	Emotional Intelligence for Employees		2020-04-19	Jackson	Kristin	F
9070	300	How to Sell Phone Warranties	3.0	2011-06-12	Myers	Ryleigh	F
9132	300	How to Sell Phone Warranties	3.0	2019-03-10	González	Candice	F
9132	700	Emotional Intelligence for Employees	3.0	2019-02-11	González	Candice	F
9174	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2012-08-28	Williams	Lily	F
9400	600	Emotional Intelligence for Managers	1.0	2016-05-18	López	Gloria	F
9400	700	Emotional Intelligence for Employees	3.0	2013-12-07	López	Gloria	F
9400	400	Smart Phones and Dumb People: Know Your Audience	3.0	2018-04-25	López	Gloria	F
9400	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2012-04-27	López	Gloria	F
9400	300	How to Sell Phone Warranties	3.0	2016-04-09	López	Gloria	F
9400	500	What Does this Button Do?	4.0	2015-06-10	López	Gloria	F
9439	500	What Does this Button Do?	4.0		Fernández	Latasha	F
9439	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2020-11-01	Fernández	Latasha	F
9439	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2012-03-08	Fernández	Latasha	F
9439	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-05-18	Fernández	Latasha	F
9439	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-11-24	Fernández	Latasha	F
9439	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2013-12-25	Fernández	Latasha	F
9610	600	Emotional Intelligence for Managers	1.0	2017-11-06	Torres	Jamie	F
9610	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2015-09-13	Torres	Jamie	F
9610	400	Smart Phones and Dumb People: Know Your Audience	3.0	2012-10-14	Torres	Jamie	F
9610	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2015-02-14	Torres	Jamie	F
9610	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2012-09-08	Torres	Jamie	F
9610	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2019-09-11	Torres	Jamie	F
9610	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2021-09-26	Torres	Jamie	F
9610	500	What Does this Button Do?	4.0	2010-05-02	Torres	Jamie	F
9610	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2013-01-03	Torres	Jamie	F
9610	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2015-08-03	Torres	Jamie	F
9640	500	What Does this Button Do?	4.0	2012-12-07	Ortíz	Renee	F
9640	500	What Does this Button Do?	4.0	2017-07-10	Ortíz	Renee	F
9640	400	Smart Phones and Dumb People: Know Your Audience	3.0	2014-03-05	Ortíz	Renee	F
9640	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2011-03-11	Ortíz	Renee	F
9640	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Ortíz	Renee	F
9640	600	Emotional Intelligence for Managers	1.0	2017-01-20	Ortíz	Renee	F
9640	700	Emotional Intelligence for Employees	3.0	2015-02-13	Ortíz	Renee	F
9640	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2013-09-21	Ortíz	Renee	F
9640	300	How to Sell Phone Warranties	3.0	2015-05-22	Ortíz	Renee	F
9640	400	Smart Phones and Dumb People: Know Your Audience	3.0	2020-10-17	Ortíz	Renee	F
10370	300	How to Sell Phone Warranties	3.0	2010-03-17	de la Cruz	Kristina	F
10370	600	Emotional Intelligence for Managers	1.0	2011-01-07	de la Cruz	Kristina	F
10370	300	How to Sell Phone Warranties	3.0	2015-01-12	de la Cruz	Kristina	F
10370	500	What Does this Button Do?	4.0	2019-07-23	de la Cruz	Kristina	F
10458	400	Smart Phones and Dumb People: Know Your Audience	3.0	2022-08-01	Cook	Sophia	F
10458	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Cook	Sophia	F
10458	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-10-23	Cook	Sophia	F
10458	300	How to Sell Phone Warranties	3.0	2019-02-09	Cook	Sophia	F
10458	700	Emotional Intelligence for Employees	3.0		Cook	Sophia	F
10458	400	Smart Phones and Dumb People: Know Your Audience	3.0	2018-08-05	Cook	Sophia	F
10458	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-05-07	Cook	Sophia	F
10458	700	Emotional Intelligence for Employees	3.0	2016-12-11	Cook	Sophia	F
10560	700	Emotional Intelligence for Employees	3.0	2022-06-22	Turner	Terri	F
10560	700	Emotional Intelligence for Employees		2019-02-14	Turner	Terri	F
10560	300	How to Sell Phone Warranties		2011-12-15	Turner	Terri	F
10560	500	What Does this Button Do?	4.0	2018-03-24	Turner	Terri	F
11134	700	Emotional Intelligence for Employees	3.0	2020-03-02	Lopez	George	M
11134	600	Emotional Intelligence for Managers	1.0		Lopez	George	M
11134	600	Emotional Intelligence for Managers	1.0	2015-11-27	Lopez	George	M
11134	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2019-10-12	Lopez	George	M
11134	600	Emotional Intelligence for Managers	1.0	2021-11-09	Lopez	George	M
11134	400	Smart Phones and Dumb People: Know Your Audience	3.0	2022-10-24	Lopez	George	M
11134	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2014-03-29	Lopez	George	M
11134	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2013-10-08	Lopez	George	M
11134	400	Smart Phones and Dumb People: Know Your Audience	3.0		Lopez	George	M
11134	500	What Does this Button Do?		2013-03-04	Lopez	George	M
11386	400	Smart Phones and Dumb People: Know Your Audience	3.0		Herrera	Jordan	F
11386	700	Emotional Intelligence for Employees	3.0	2019-09-13	Herrera	Jordan	F
11386	700	Emotional Intelligence for Employees	3.0	2019-07-15	Herrera	Jordan	F
11386	700	Emotional Intelligence for Employees	3.0		Herrera	Jordan	F
11386	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2018-01-18	Herrera	Jordan	F
11386	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Herrera	Jordan	F
11386	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-03-21	Herrera	Jordan	F
12152	300	How to Sell Phone Warranties	3.0	2017-05-26	Brown	Sean	M
12152	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2012-04-08	Brown	Sean	M
12242	500	What Does this Button Do?	4.0	2018-08-05	Moreno	William	M
12242	500	What Does this Button Do?	4.0		Moreno	William	M
12242	500	What Does this Button Do?	4.0	2014-04-16	Moreno	William	M
12242	200	Is 5G a myth? (And Other Questions You May Hear)	1.0		Moreno	William	M
12242	300	How to Sell Phone Warranties	3.0	2011-04-06	Moreno	William	M
12654	300	How to Sell Phone Warranties	3.0	2010-11-05	Jiménez	Milton	M
12654	300	How to Sell Phone Warranties	3.0	2011-05-22	Jiménez	Milton	M
12654	300	How to Sell Phone Warranties	3.0	2012-02-21	Jiménez	Milton	M
12654	400	Smart Phones and Dumb People: Know Your Audience	3.0	2017-01-30	Jiménez	Milton	M
12654	200	Is 5G a myth? (And Other Questions You May Hear)	1.0		Jiménez	Milton	M
12654	500	What Does this Button Do?	4.0	2022-02-27	Jiménez	Milton	M
12654	500	What Does this Button Do?	4.0	2014-08-11	Jiménez	Milton	M
12654	600	Emotional Intelligence for Managers	1.0	2016-11-11	Jiménez	Milton	M
12654	700	Emotional Intelligence for Employees	3.0	2020-02-12	Jiménez	Milton	M
12654	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2010-03-18	Jiménez	Milton	M
12674	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2015-04-01	Guerrero	Gwendolyn	F
12674	500	What Does this Button Do?	4.0		Guerrero	Gwendolyn	F
12674	700	Emotional Intelligence for Employees	3.0	2012-10-13	Guerrero	Gwendolyn	F
12674	500	What Does this Button Do?	4.0	2021-02-01	Guerrero	Gwendolyn	F
12674	700	Emotional Intelligence for Employees	3.0	2017-06-27	Guerrero	Gwendolyn	F
12674	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-07-31	Guerrero	Gwendolyn	F
12674	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2011-05-08	Guerrero	Gwendolyn	F
12865	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2017-11-16	Rodríguez	Theresa	F
13370	600	Emotional Intelligence for Managers	1.0	2017-03-22	Moreno	Joshua	M
13370	600	Emotional Intelligence for Managers	1.0	2015-01-20	Moreno	Joshua	M
13370	300	How to Sell Phone Warranties	3.0	2021-05-30	Moreno	Joshua	M
13370	600	Emotional Intelligence for Managers	1.0	2013-04-14	Moreno	Joshua	M
13370	300	How to Sell Phone Warranties	3.0	2011-09-29	Moreno	Joshua	M
13370	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2013-09-15	Moreno	Joshua	M
13370	700	Emotional Intelligence for Employees	3.0	2018-04-11	Moreno	Joshua	M
13540	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2010-01-28	Castillo	Zoe	F
13540	500	What Does this Button Do?	4.0		Castillo	Zoe	F
13540	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-09-24	Castillo	Zoe	F
13540	500	What Does this Button Do?	4.0	2011-07-26	Castillo	Zoe	F
13540	400	Smart Phones and Dumb People: Know Your Audience			Castillo	Zoe	F
13540	700	Emotional Intelligence for Employees	3.0	2010-10-16	Castillo	Zoe	F
13540	300	How to Sell Phone Warranties	3.0	2019-04-18	Castillo	Zoe	F
13586	600	Emotional Intelligence for Managers	1.0	2011-03-06	Martínez	Kerry	F
13586	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2015-08-05	Martínez	Kerry	F
13586	500	What Does this Button Do?	4.0	2015-09-05	Martínez	Kerry	F
13586	300	How to Sell Phone Warranties	3.0		Martínez	Kerry	F
13691	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-03-17	Morales	Hailey	F
32868	600	Emotional Intelligence for Managers	1.0	2012-10-13	Díaz	Riley	M
32868	700	Emotional Intelligence for Employees	3.0	2022-11-27	Díaz	Riley	M
32868	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-09-14	Díaz	Riley	M
32868	400	Smart Phones and Dumb People: Know Your Audience	3.0	2015-08-14	Díaz	Riley	M
32868	500	What Does this Button Do?	4.0	2014-01-13	Díaz	Riley	M
32868	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2019-03-18	Díaz	Riley	M
32868	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points		2016-01-31	Díaz	Riley	M
32868	600	Emotional Intelligence for Managers	1.0		Díaz	Riley	M
33008	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2022-05-04	Reyes	Chloe	F
33008	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2018-01-20	Reyes	Chloe	F
33008	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-02-03	Reyes	Chloe	F
33008	700	Emotional Intelligence for Employees	3.0	2017-04-21	Reyes	Chloe	F
33008	400	Smart Phones and Dumb People: Know Your Audience	3.0	2015-08-09	Reyes	Chloe	F
33008	400	Smart Phones and Dumb People: Know Your Audience	3.0	2012-06-25	Reyes	Chloe	F
33008	300	How to Sell Phone Warranties	3.0	2022-11-18	Reyes	Chloe	F
33008	600	Emotional Intelligence for Managers	1.0	2019-10-11	Reyes	Chloe	F
33008	600	Emotional Intelligence for Managers	1.0	2015-07-01	Reyes	Chloe	F
33008	600	Emotional Intelligence for Managers	1.0	2020-04-08	Reyes	Chloe	F
33487	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2022-01-06	Cruz	Gerard	M
33487	400	Smart Phones and Dumb People: Know Your Audience	3.0	2021-10-04	Cruz	Gerard	M
33549	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-07-19	Díaz	Marvin	M
33549	300	How to Sell Phone Warranties	3.0	2013-06-13	Díaz	Marvin	M
33549	300	How to Sell Phone Warranties	3.0	2018-08-22	Díaz	Marvin	M
33549	600	Emotional Intelligence for Managers	1.0	2018-04-30	Díaz	Marvin	M
33549	600	Emotional Intelligence for Managers	1.0	2012-09-29	Díaz	Marvin	M
33549	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2011-11-07	Díaz	Marvin	M
33603	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2017-02-05	Gomez	Maurice	M
33603	300	How to Sell Phone Warranties	3.0	2017-10-06	Gomez	Maurice	M
33603	600	Emotional Intelligence for Managers	1.0	2010-05-11	Gomez	Maurice	M
33603	400	Smart Phones and Dumb People: Know Your Audience	3.0	2022-03-13	Gomez	Maurice	M
33603	500	What Does this Button Do?	4.0	2017-09-07	Gomez	Maurice	M
33603	300	How to Sell Phone Warranties	3.0	2014-12-09	Gomez	Maurice	M
33603	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-09-15	Gomez	Maurice	M
33603	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2014-12-26	Gomez	Maurice	M
33603	300	How to Sell Phone Warranties	3.0	2021-02-20	Gomez	Maurice	M
33801	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2021-04-10	Brown	Shannon	M
33801	600	Emotional Intelligence for Managers	1.0	2016-04-07	Brown	Shannon	M
33801	700	Emotional Intelligence for Employees	3.0		Brown	Shannon	M
33801	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-01-30	Brown	Shannon	M
33801	700	Emotional Intelligence for Employees	3.0		Brown	Shannon	M
33801	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2017-01-23	Brown	Shannon	M
33801	700	Emotional Intelligence for Employees		2018-12-03	Brown	Shannon	M
33801	300	How to Sell Phone Warranties	3.0	2018-08-09	Brown	Shannon	M
33801	700	Emotional Intelligence for Employees	3.0	2011-04-12	Brown	Shannon	M
33895	200	Is 5G a myth? (And Other Questions You May Hear)		2016-04-29	Muñoz	Lynda	F
33895	600	Emotional Intelligence for Managers	1.0	2022-12-29	Muñoz	Lynda	F
33895	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2015-08-19	Muñoz	Lynda	F
33895	400	Smart Phones and Dumb People: Know Your Audience	3.0	2016-03-28	Muñoz	Lynda	F
34091	500	What Does this Button Do?	4.0		Howard	Emery	F
34091	500	What Does this Button Do?	4.0	2012-09-04	Howard	Emery	F
34091	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2015-08-03	Howard	Emery	F
34091	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-07-19	Howard	Emery	F
34091	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-03-20	Howard	Emery	F
34091	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2013-12-21	Howard	Emery	F
34091	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-07-02	Howard	Emery	F
34091	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2018-04-24	Howard	Emery	F
34091	300	How to Sell Phone Warranties	3.0	2015-08-02	Howard	Emery	F
34312	300	How to Sell Phone Warranties	3.0	2018-09-19	Márquez	Casey	F
34312	400	Smart Phones and Dumb People: Know Your Audience	3.0	2012-05-26	Márquez	Casey	F
34312	500	What Does this Button Do?	4.0		Márquez	Casey	F
34312	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-05-30	Márquez	Casey	F
34312	300	How to Sell Phone Warranties	3.0	2015-05-09	Márquez	Casey	F
34369	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2022-04-09	Wright	Angel	F
34369	500	What Does this Button Do?	4.0	2017-05-30	Wright	Angel	F
34369	500	What Does this Button Do?	4.0	2017-07-13	Wright	Angel	F
34369	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2011-01-22	Wright	Angel	F
34369	600	Emotional Intelligence for Managers	1.0	2012-04-25	Wright	Angel	F
34369	600	Emotional Intelligence for Managers		2013-11-05	Wright	Angel	F
34369	600	Emotional Intelligence for Managers	1.0	2011-07-15	Wright	Angel	F
34369	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2012-02-26	Wright	Angel	F
34369	600	Emotional Intelligence for Managers	1.0	2019-03-19	Wright	Angel	F
34369	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0		Wright	Angel	F
34578	500	What Does this Button Do?	4.0	2022-05-17	Mejía	Braden	M
34578	300	How to Sell Phone Warranties	3.0		Mejía	Braden	M
34578	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-06-26	Mejía	Braden	M
34578	700	Emotional Intelligence for Employees	3.0	2017-05-09	Mejía	Braden	M
34578	400	Smart Phones and Dumb People: Know Your Audience	3.0	2017-04-29	Mejía	Braden	M
34578	500	What Does this Button Do?	4.0	2011-10-03	Mejía	Braden	M
34578	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2014-06-04	Mejía	Braden	M
34578	400	Smart Phones and Dumb People: Know Your Audience	3.0	2012-05-08	Mejía	Braden	M
34578	500	What Does this Button Do?	4.0	2021-03-27	Mejía	Braden	M
34578	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2014-12-31	Mejía	Braden	M
34617	200	Is 5G a myth? (And Other Questions You May Hear)	1.0	2016-11-30	Campos	Tommy	M
34617	700	Emotional Intelligence for Employees	3.0	2017-07-07	Campos	Tommy	M
34637	400	Smart Phones and Dumb People: Know Your Audience	3.0	2013-09-09	Campbell	Meghan	F
34637	500	What Does this Button Do?	4.0		Campbell	Meghan	F
34637	700	Emotional Intelligence for Employees	3.0	2012-10-08	Campbell	Meghan	F
34637	300	How to Sell Phone Warranties	3.0	2021-10-11	Campbell	Meghan	F
34637	600	Emotional Intelligence for Managers	1.0	2019-06-28	Campbell	Meghan	F
34637	700	Emotional Intelligence for Employees	3.0	2011-06-25	Campbell	Meghan	F
34637	400	Smart Phones and Dumb People: Know Your Audience	3.0	2019-05-10	Campbell	Meghan	F
34674	500	What Does this Button Do?	4.0	2013-03-09	Johnson	Toni	F
34674	400	Smart Phones and Dumb People: Know Your Audience	3.0	2021-06-20	Johnson	Toni	F
34674	500	What Does this Button Do?	4.0		Johnson	Toni	F
34674	700	Emotional Intelligence for Employees	3.0	2018-01-24	Johnson	Toni	F
34674	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points	3.0	2014-05-30	Johnson	Toni	F
34735	500	What Does this Button Do?	4.0	2018-08-19	Brown	Betty	F
34916	700	Emotional Intelligence for Employees	3.0	2016-07-06	Rodríguez	Danielle	F
34916	100	Chemtrails and Tin-foil Hats: How to Turn Conspiracy Theories into Selling Points		2017-11-16	Rodríguez	Danielle	F
34916	400	Smart Phones and Dumb People: Know Your Audience	3.0	2011-12-06	Rodríguez	Danielle	F
